"cod_cliente","edad_cliente","margen_beneficio","sdo_financiacion","sdo_inversion","sdo_inversion_fuera_bal","sdo_inversion_no_T1","sdo_financiacion_no_T1","imp_domiciliaciones_cargo","imp_cuota_pres_hip","imp_tarj_credito","imp_tarj_debito","imp_domiciliaciones_nom","imp_domiciliaciones_pen","imp_domiciliaciones_desem","sdo_imposiciones_plazo","sdo_fondos_inversion","sdo_plan_pensiones","sdo_seguros_ahorro","sdo_cta_vivienda","sdo_descubierto","sdo_cta_vista","sdo_avales","sdo_pres_hipotecarios","sdo_pres_personales","sdo_valores","imp_movimientos_cargo","imp_movimientos_abono","num_movimientos_cargo","num_movimientos_abono","num_accesos_banca_elec","flag"
"Client65",42,14.7,3217.68,334.04,0.0,334.04,3217.68,183.92,0.0,0.0,282.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.04,0.0,0.0,3217.68,0.0,-967.72,372.0,10,5,21,"S"
"Client121",27,133.94,33238.77,220.21,1792.24,220.21,33238.77,31.19,0.0,622.22,0.0,1132.14,0.0,0.0,0.0,0.0,1710.61,0.0,0.0,0.0,220.21,0.0,0.0,33118.55,0.0,-320.29,1132.14,5,3,0,"S"
"Client173",39,109.07,7054.84,1248.12,0.0,1248.12,7054.84,711.63,0.0,759.08,0.0,1247.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.12,0.0,0.0,5445.42,0.0,-42.38,347.0,3,3,14,"S"
"Client307",52,24.14,15956.21,1690.88,0.0,1690.88,15956.21,711.65,0.0,749.0,0.0,1856.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.88,0.0,0.0,15859.21,0.0,-444.21,1856.86,8,3,4,"N"
"Client359",28,92.13,4273.46,469.44,0.0,469.44,4273.46,135.34,0.0,0.0,0.0,973.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.44,0.0,0.0,4273.46,0.0,-302.49,973.93,6,3,0,"S"
"Client417",53,22.72,37470.72,1624.93,0.0,1624.93,37470.72,406.18,323.62,477.93,122.0,1682.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624.93,0.0,37180.75,0.0,0.0,-549.15,2.01,11,3,5,"S"
"Client442",43,-63.7,66263.34,1460.19,0.0,1460.19,66263.34,763.32,429.55,0.0,1594.28,1903.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.19,0.0,66263.34,0.0,0.0,-2650.05,0.0,38,0,0,"N"
"Client605",48,61.2,5273.07,159.9,0.0,159.9,5273.07,150.46,291.16,266.94,0.0,1142.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.9,0.0,3446.71,0.0,0.0,-472.28,152.0,7,3,0,"N"
"Client930",38,15.4,8587.73,765.57,0.0,765.57,8587.73,28.84,266.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.57,0.0,8587.73,0.0,0.0,-24.84,0.0,3,0,0,"N"
"Client934",39,-9.09,78515.42,4021.04,4222.74,4021.04,78515.42,945.41,379.16,204.9,0.0,1119.05,0.0,0.0,0.0,0.0,0.0,4170.58,0.0,0.0,4021.04,0.0,78312.52,0.0,0.0,-843.92,1402.0,11,4,0,"S"
