"CONTACT_ID","AGE","FAMILYSIZE","YEAREXPERIENCE","ANNUALINCOME","EDUCATIONLEVEL_ID","NETPRICE_PRO11_AMT","NETPRICE_PRO12_AMT","NETPRICE_PRO13_AMT","NETPRICE_PRO14_AMT","NETPRICE_PRO15_AMT","NETPRICE_PRO16_AMT","NETPRICE_PRO17_AMT"
395,28,4,4,49,1,0.0,1.0,0.0,16.0,0.0,0.0,0.0
396,48,3,22,34,1,0.0,1.0,0.0,15.0,0.0,0.0,0.0
397,42,1,18,11,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
398,38,1,12,100,2,0.0,0.0,0.0,27.0,0.0,0.0,0.0
399,38,4,11,45,2,0.0,0.0,0.0,10.0,1.0,0.0,0.0
400,40,4,16,29,2,155.0,0.0,0.0,4.0,0.0,1.0,0.0
401,56,2,30,72,2,0.0,0.0,0.0,15.0,0.0,1.0,0.0
404,37,1,12,180,3,0.0,0.0,0.0,89.0,0.0,0.0,1.0
405,68,4,42,105,3,0.0,0.0,0.0,24.0,0.0,0.0,0.0
406,32,3,8,45,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
407,51,2,26,114,3,0.0,1.0,0.0,38.0,0.0,0.0,0.0
408,62,4,35,40,2,0.0,0.0,0.0,25.0,0.0,1.0,0.0
409,70,1,44,112,1,0.0,1.0,0.0,20.0,0.0,0.0,0.0
412,45,4,21,81,1,0.0,0.0,0.0,24.0,0.0,0.0,0.0
413,49,2,24,193,3,0.0,0.0,0.0,81.0,0.0,0.0,1.0
414,58,1,31,21,2,0.0,1.0,0.0,5.0,1.0,0.0,0.0
415,59,4,34,25,2,111.0,0.0,0.0,9.0,0.0,1.0,0.0
416,60,3,30,63,3,0.0,0.0,0.0,20.0,0.0,1.0,0.0
417,32,1,8,62,1,260.0,0.0,0.0,12.0,0.0,1.0,0.0
418,47,2,21,43,1,163.0,1.0,0.0,7.0,0.0,0.0,0.0
419,39,2,14,152,1,159.0,0.0,0.0,39.0,1.0,0.0,0.0
422,49,1,23,158,1,0.0,0.0,0.0,24.0,1.0,1.0,0.0
423,59,1,33,48,3,0.0,0.0,0.0,22.0,1.0,1.0,0.0
424,41,1,16,119,2,0.0,0.0,1.0,33.0,1.0,1.0,1.0
425,62,1,38,35,3,122.0,0.0,0.0,12.0,0.0,1.0,0.0
426,43,1,19,29,2,0.0,0.0,0.0,20.0,0.0,1.0,0.0
427,56,2,31,41,3,193.0,0.0,0.0,6.0,0.0,0.0,0.0
428,33,3,9,18,3,0.0,0.0,0.0,9.0,0.0,0.0,0.0
430,51,3,27,81,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0
431,62,1,38,121,1,0.0,0.0,0.0,29.0,1.0,0.0,0.0
432,54,1,28,71,3,198.0,0.0,0.0,14.0,0.0,0.0,0.0
433,45,3,21,141,3,0.0,1.0,1.0,50.0,0.0,1.0,1.0
434,41,4,16,80,3,285.0,0.0,0.0,7.0,0.0,1.0,0.0
435,60,3,35,84,3,0.0,1.0,0.0,16.0,0.0,0.0,0.0
436,37,3,12,60,1,0.0,0.0,0.0,23.0,0.0,0.0,0.0
437,35,4,10,132,2,412.0,0.0,0.0,11.0,0.0,1.0,1.0
438,42,1,18,45,1,0.0,0.0,0.0,7.0,0.0,1.0,0.0
439,49,1,23,104,1,0.0,0.0,0.0,57.0,1.0,1.0,0.0
440,60,4,34,52,1,0.0,0.0,0.0,25.0,1.0,0.0,0.0
441,42,3,17,43,2,153.0,0.0,0.0,7.0,0.0,1.0,0.0
442,40,4,15,194,3,211.0,1.0,1.0,2.0,1.0,1.0,1.0
443,59,2,29,81,3,0.0,0.0,0.0,45.0,1.0,0.0,0.0
444,43,1,19,49,1,0.0,0.0,0.0,18.0,1.0,0.0,0.0
445,35,4,11,8,2,0.0,1.0,0.0,7.0,0.0,1.0,0.0
446,64,1,40,131,1,0.0,0.0,0.0,29.0,0.0,1.0,0.0
447,33,1,9,72,1,207.0,0.0,0.0,1.0,0.0,0.0,0.0
449,32,1,8,44,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0
450,44,2,20,139,1,0.0,0.0,0.0,80.0,0.0,1.0,0.0
451,58,3,33,29,2,0.0,1.0,1.0,1.0,0.0,1.0,0.0
452,59,2,34,131,3,0.0,0.0,0.0,12.0,0.0,0.0,1.0
453,31,2,5,93,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0
454,34,2,8,188,1,455.0,0.0,0.0,45.0,0.0,0.0,0.0
455,52,3,27,39,2,0.0,1.0,0.0,17.0,0.0,1.0,0.0
456,50,1,24,125,1,112.0,1.0,0.0,57.0,0.0,0.0,0.0
457,45,1,21,22,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
458,45,4,20,32,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
459,50,2,26,105,1,0.0,0.0,0.0,33.0,0.0,0.0,0.0
460,62,1,38,131,1,0.0,0.0,0.0,38.0,1.0,1.0,0.0
461,65,2,39,105,1,336.0,0.0,0.0,28.0,0.0,0.0,0.0
462,56,4,26,45,3,132.0,1.0,0.0,20.0,0.0,0.0,0.0
463,50,3,24,60,1,0.0,0.0,0.0,21.0,1.0,1.0,0.0
464,56,4,32,20,1,0.0,0.0,0.0,2.0,0.0,1.0,0.0
465,45,1,21,115,1,0.0,0.0,0.0,35.0,1.0,0.0,0.0
466,56,4,32,69,2,0.0,0.0,0.0,10.0,0.0,1.0,0.0
468,44,1,19,85,3,0.0,0.0,0.0,40.0,1.0,1.0,0.0
469,31,2,6,135,1,0.0,0.0,0.0,33.0,1.0,0.0,0.0
470,34,4,10,135,2,0.0,0.0,1.0,38.0,1.0,1.0,1.0
472,49,3,23,29,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0
473,57,2,33,133,3,0.0,0.0,0.0,26.0,0.0,0.0,1.0
474,53,2,29,19,1,118.0,0.0,0.0,4.0,0.0,1.0,0.0
475,63,4,39,41,1,174.0,0.0,0.0,13.0,1.0,1.0,0.0
476,50,3,25,40,2,0.0,0.0,0.0,27.0,0.0,1.0,0.0
