"Frequency","Angle of attack","Chord length","Free-stream velocity","Suction side displacement thickness","Scaled sound pressure level","nominal"
800,0,0.3048,71.3,0.00266337,126.201,"addition"
1000,0,0.3048,71.3,0.00266337,125.201,"addition"
1250,0,0.3048,71.3,0.00266337,125.951,"addition"
1600,0,0.3048,71.3,0.00266337,127.591,"addition"
2000,0,0.3048,71.3,0.00266337,127.461,"addition"
2500,0,0.3048,71.3,0.00266337,125.571,"addition"
3150,0,0.3048,71.3,0.00266337,125.201,"addition"
4000,0,0.3048,71.3,0.00266337,123.061,"addition"
5000,0,0.3048,71.3,0.00266337,121.301,"addition"
6300,0,0.3048,71.3,0.00266337,119.541,"addition"
8000,0,0.3048,71.3,0.00266337,117.151,"addition"
10000,0,0.3048,71.3,0.00266337,115.391,"addition"
12500,0,0.3048,71.3,0.00266337,112.241,"addition"
16000,0,0.3048,71.3,0.00266337,108.721,"addition"
500,0,0.3048,55.5,0.00283081,126.416,"addition"
630,0,0.3048,55.5,0.00283081,127.696,"addition"
800,0,0.3048,55.5,0.00283081,128.086,"addition"
1000,0,0.3048,55.5,0.00283081,126.966,"addition"
1250,0,0.3048,55.5,0.00283081,126.086,"addition"
1600,0,0.3048,55.5,0.00283081,126.986,"addition"
2000,0,0.3048,55.5,0.00283081,126.616,"addition"
2500,0,0.3048,55.5,0.00283081,124.106,"addition"
3150,0,0.3048,55.5,0.00283081,123.236,"addition"
4000,0,0.3048,55.5,0.00283081,121.106,"addition"
5000,0,0.3048,55.5,0.00283081,119.606,"addition"
6300,0,0.3048,55.5,0.00283081,117.976,"addition"
8000,0,0.3048,55.5,0.00283081,116.476,"addition"
10000,0,0.3048,55.5,0.00283081,113.076,"addition"
12500,0,0.3048,55.5,0.00283081,111.076,"addition"
200,0,0.3048,39.6,0.00310138,118.129,"addition"
250,0,0.3048,39.6,0.00310138,119.319,"addition"
315,0,0.3048,39.6,0.00310138,122.779,"addition"
400,0,0.3048,39.6,0.00310138,124.809,"addition"
500,0,0.3048,39.6,0.00310138,126.959,"addition"
630,0,0.3048,39.6,0.00310138,128.629,"addition"
800,0,0.3048,39.6,0.00310138,129.099,"addition"
1000,0,0.3048,39.6,0.00310138,127.899,"addition"
1250,0,0.3048,39.6,0.00310138,125.499,"addition"
1600,0,0.3048,39.6,0.00310138,124.049,"addition"
2000,0,0.3048,39.6,0.00310138,123.689,"addition"
2500,0,0.3048,39.6,0.00310138,121.399,"addition"
3150,0,0.3048,39.6,0.00310138,120.319,"addition"
4000,0,0.3048,39.6,0.00310138,119.229,"addition"
5000,0,0.3048,39.6,0.00310138,117.789,"addition"
6300,0,0.3048,39.6,0.00310138,116.229,"addition"
8000,0,0.3048,39.6,0.00310138,114.779,"addition"
10000,0,0.3048,39.6,0.00310138,112.139,"addition"
12500,0,0.3048,39.6,0.00310138,109.619,"addition"
200,0,0.3048,31.7,0.00331266,117.195,"addition"
250,0,0.3048,31.7,0.00331266,118.595,"addition"
315,0,0.3048,31.7,0.00331266,122.765,"addition"
400,0,0.3048,31.7,0.00331266,125.045,"addition"
500,0,0.3048,31.7,0.00331266,127.315,"addition"
630,0,0.3048,31.7,0.00331266,129.095,"addition"
800,0,0.3048,31.7,0.00331266,129.235,"addition"
1000,0,0.3048,31.7,0.00331266,127.365,"addition"
1250,0,0.3048,31.7,0.00331266,124.355,"addition"
1600,0,0.3048,31.7,0.00331266,122.365,"addition"
2000,0,0.3048,31.7,0.00331266,122.375,"addition"
2500,0,0.3048,31.7,0.00331266,120.755,"addition"
3150,0,0.3048,31.7,0.00331266,119.135,"addition"
4000,0,0.3048,31.7,0.00331266,118.145,"addition"
5000,0,0.3048,31.7,0.00331266,115.645,"addition"
6300,0,0.3048,31.7,0.00331266,113.775,"addition"
8000,0,0.3048,31.7,0.00331266,110.515,"addition"
10000,0,0.3048,31.7,0.00331266,108.265,"addition"
800,1.5,0.3048,71.3,0.00336729,127.122,"addition"
1000,1.5,0.3048,71.3,0.00336729,125.992,"addition"
1250,1.5,0.3048,71.3,0.00336729,125.872,"addition"
1600,1.5,0.3048,71.3,0.00336729,126.632,"addition"
2000,1.5,0.3048,71.3,0.00336729,126.642,"addition"
2500,1.5,0.3048,71.3,0.00336729,124.512,"addition"
3150,1.5,0.3048,71.3,0.00336729,123.392,"addition"
4000,1.5,0.3048,71.3,0.00336729,121.762,"addition"
5000,1.5,0.3048,71.3,0.00336729,119.632,"addition"
6300,1.5,0.3048,71.3,0.00336729,118.122,"addition"
8000,1.5,0.3048,71.3,0.00336729,115.372,"addition"
10000,1.5,0.3048,71.3,0.00336729,113.492,"addition"
12500,1.5,0.3048,71.3,0.00336729,109.222,"addition"
16000,1.5,0.3048,71.3,0.00336729,106.582,"addition"
315,1.5,0.3048,39.6,0.00392107,121.851,"addition"
400,1.5,0.3048,39.6,0.00392107,124.001,"addition"
500,1.5,0.3048,39.6,0.00392107,126.661,"addition"
630,1.5,0.3048,39.6,0.00392107,128.311,"addition"
800,1.5,0.3048,39.6,0.00392107,128.831,"addition"
1000,1.5,0.3048,39.6,0.00392107,127.581,"addition"
1250,1.5,0.3048,39.6,0.00392107,125.211,"addition"
1600,1.5,0.3048,39.6,0.00392107,122.211,"addition"
2000,1.5,0.3048,39.6,0.00392107,122.101,"addition"
2500,1.5,0.3048,39.6,0.00392107,120.981,"addition"
3150,1.5,0.3048,39.6,0.00392107,119.111,"addition"
4000,1.5,0.3048,39.6,0.00392107,117.741,"addition"
5000,1.5,0.3048,39.6,0.00392107,116.241,"addition"
6300,1.5,0.3048,39.6,0.00392107,114.751,"addition"
8000,1.5,0.3048,39.6,0.00392107,112.251,"addition"
10000,1.5,0.3048,39.6,0.00392107,108.991,"addition"
12500,1.5,0.3048,39.6,0.00392107,106.111,"addition"
400,3,0.3048,71.3,0.00425727,127.564,"addition"
500,3,0.3048,71.3,0.00425727,128.454,"addition"
630,3,0.3048,71.3,0.00425727,129.354,"addition"
800,3,0.3048,71.3,0.00425727,129.494,"addition"
1000,3,0.3048,71.3,0.00425727,129.004,"addition"
1250,3,0.3048,71.3,0.00425727,127.634,"addition"
1600,3,0.3048,71.3,0.00425727,126.514,"addition"
2000,3,0.3048,71.3,0.00425727,125.524,"addition"
2500,3,0.3048,71.3,0.00425727,124.024,"addition"
3150,3,0.3048,71.3,0.00425727,121.514,"addition"
4000,3,0.3048,71.3,0.00425727,120.264,"addition"
5000,3,0.3048,71.3,0.00425727,118.134,"addition"
6300,3,0.3048,71.3,0.00425727,116.134,"addition"
8000,3,0.3048,71.3,0.00425727,114.634,"addition"
10000,3,0.3048,71.3,0.00425727,110.224,"addition"
400,3,0.3048,55.5,0.00452492,126.159,"addition"
500,3,0.3048,55.5,0.00452492,128.179,"addition"
630,3,0.3048,55.5,0.00452492,129.569,"addition"
800,3,0.3048,55.5,0.00452492,129.949,"addition"
1000,3,0.3048,55.5,0.00452492,129.329,"addition"
1250,3,0.3048,55.5,0.00452492,127.329,"addition"
1600,3,0.3048,55.5,0.00452492,124.439,"addition"
2000,3,0.3048,55.5,0.00452492,123.069,"addition"
2500,3,0.3048,55.5,0.00452492,122.439,"addition"
3150,3,0.3048,55.5,0.00452492,120.189,"addition"
4000,3,0.3048,55.5,0.00452492,118.689,"addition"
5000,3,0.3048,55.5,0.00452492,117.309,"addition"
6300,3,0.3048,55.5,0.00452492,115.679,"addition"
8000,3,0.3048,55.5,0.00452492,113.799,"addition"
10000,3,0.3048,55.5,0.00452492,112.169,"addition"
315,3,0.3048,39.6,0.00495741,123.312,"addition"
400,3,0.3048,39.6,0.00495741,125.472,"addition"
500,3,0.3048,39.6,0.00495741,127.632,"addition"
630,3,0.3048,39.6,0.00495741,129.292,"addition"
800,3,0.3048,39.6,0.00495741,129.552,"addition"
1000,3,0.3048,39.6,0.00495741,128.312,"addition"
1250,3,0.3048,39.6,0.00495741,125.802,"addition"
1600,3,0.3048,39.6,0.00495741,122.782,"addition"
2000,3,0.3048,39.6,0.00495741,120.532,"addition"
2500,3,0.3048,39.6,0.00495741,120.162,"addition"
3150,3,0.3048,39.6,0.00495741,118.922,"addition"
4000,3,0.3048,39.6,0.00495741,116.792,"addition"
5000,3,0.3048,39.6,0.00495741,115.792,"addition"
6300,3,0.3048,39.6,0.00495741,114.042,"addition"
8000,3,0.3048,39.6,0.00495741,110.652,"addition"
315,3,0.3048,31.7,0.00529514,123.118,"addition"
400,3,0.3048,31.7,0.00529514,125.398,"addition"
500,3,0.3048,31.7,0.00529514,127.548,"addition"
630,3,0.3048,31.7,0.00529514,128.698,"addition"
800,3,0.3048,31.7,0.00529514,128.708,"addition"
1000,3,0.3048,31.7,0.00529514,126.838,"addition"
1250,3,0.3048,31.7,0.00529514,124.838,"addition"
1600,3,0.3048,31.7,0.00529514,122.088,"addition"
2000,3,0.3048,31.7,0.00529514,120.088,"addition"
2500,3,0.3048,31.7,0.00529514,119.598,"addition"
3150,3,0.3048,31.7,0.00529514,118.108,"addition"
4000,3,0.3048,31.7,0.00529514,115.608,"addition"
5000,3,0.3048,31.7,0.00529514,113.858,"addition"
6300,3,0.3048,31.7,0.00529514,109.718,"addition"
250,4,0.3048,71.3,0.00497773,126.395,"addition"
315,4,0.3048,71.3,0.00497773,128.175,"addition"
